date,rating,review_text,thumbs_up_count,title
2025-05-13 09:42:37,1,"previous version is very good and user friendly, old versions look also nice, smoothly working, very easy to using for new users, easy accessable. the new version confuses to new user in some ways.",9,
2025-04-18 02:44:53,2,Session is getting erased without logging out. No pop-up for the same. Alerting messaging is blank while logging out. Mobile OTPs are not working,9,
2025-03-19 23:39:08,5,"Convenient,Reliable, Faster, Easier and Secure to get 🤝📚🌍💪🌳",9,
2025-03-19 04:56:23,1,"A useless application is not even able to login , after login there is no loading page after that, nothing is showing",9,
2025-01-25 18:23:15,5,It was easy to apply 😀,9,
2024-05-20 02:04:36,1,"Digilocker upload does not work. While the access granting part works, when it returns to app, all it shows is a blank pop-up and doesn't upload any document.",9,
2025-09-18 07:20:56,1,"Third grade app. Otp doesn't come. When after 10 resends finally when it comes, otp mismatch. Just logging in is a task",8,
2025-09-05 01:17:45,1,pathetic performance don't know how indian govt is allowing to roll out such a poor app Application tracking is not getting refreshed and we have to logout everytime to check and relogin to ensure data is there. payment made and appointment scheduled but the same is not reflecting on app. Digi locker upload option is not working,8,
2025-05-28 18:15:48,5,Passport sewa actually application is easy. Need to improve this app.,8,
2025-04-22 03:59:37,1,"old app does not work, new app does not offer the capability to change the registered mobile number I need to reissue the passport, however my old registered number does not exist hence not able to even verify my passport",8,
2024-10-12 10:32:51,1,Very bad performance and some times not respons. pl improve as per previous app. my experience previous app is better. Who IT team development.... Previous is good.. Thanks,8,
2024-09-05 10:26:11,1,"When I try to change the PSK location, the app automatically stops and closes. Worst app ever. By the way All govt. Apps are cheap and substandard.",8,
2025-09-20 07:04:18,1,"poorest service... tried to sign up, couldn't as OTP got after 1 or 2 hours ... then tried again, couldn't as email id has shown already registered... then tried to log in , couldn't , as I haven't signed up... tried with another email id, still the same results.. now not even loading...",7,
2025-08-12 02:26:05,1,lol the otp headers are greyed out / missing needed to trial and error put my otp from my phone and email to the right fields. also lot of fields are not populating when I try the reissue process.,7,
2025-07-06 19:16:27,2,"the application is slow, many times we have to logout and login again otherwise it doesn't work. it gives issues while making a payment.",7,
2025-06-27 03:46:16,4,it's very slow I went to apply for fresh asking mail and mobile no code I received only reference code on mail only but didn't recieved on mobile it's showing your mobile number is not registered.where as my number is very much registered. I tried to see the details of my profile but I couldn't. so please guide.,7,
2025-05-28 17:09:02,1,not able to login through the web as well as through the app. It's a really very bad experience,7,
2025-03-27 17:39:38,1,"this app has so many glitches, this app takes time to load the data & show the sequences that are pre exits & many much issues that I faced in this first use of app",7,
2024-08-07 04:40:03,3,Track application status is not working apart from that UI is good.,7,
2024-06-03 04:24:23,5,Worst app .,7,
2026-01-04 05:25:29,1,Drop down doesn't open. Too much hang up. Screen refresh unnecessary. While clicking on otp box entire code get selected and unable to unselect. payment button not work after payment cancel no other way to pay.No user friendly app.,6,
2025-11-01 05:45:38,1,"This is such a poorly made application it is very very difficult to navigate through the application, logs out without notice very frequently, on top of it the payment processing through the only provide mode (SBI) is seriously poor. When the world of other better payment portals are available why is the poor, pathetic and age old SBI portal is used which has history of poor performance and bugs. despite knwing that payment has not processed (sbi portal issue) one has to wait till status clears.",6,
2025-10-08 15:49:05,1,"Having problem while filling details about my NOC. When I filled my name in name section it showed that ""max length exceed "" but when I filled only 'S' in my name section then also it showed ""max length exceed "". which means there is some technical issues. Same issue comes in address section also. Currently I am facing this problem which causes i have not filled up my NOC details yet. Please resolve this problem.",6,
2025-09-03 04:36:47,1,"Can even register to app. Just while entering name, it's multiplying the alphabet, typing is not possible it's full of bug even before you start using it.",6,
2025-08-23 11:45:08,5,Excellent 👍👌👍 Application And it's Uses Kudos To Developer And The Team,6,
2025-08-05 15:12:21,1,The apps really looks like a dummy one and can never let someone even register there. You type in a username or full individual name and all it does is repeatedly auto-paste that character over and over again. Strongly recommended for removal from play store.,6,
2025-06-11 00:47:37,1,"worst app , literally it's a government official application and its running like hell there is nothing work properly I want to upload my documents I directly crashes while I click on upload documents",6,
2025-06-02 09:07:10,1,no Login tab available. the app is not user-friendly. if you work on this app and get a call in between then the app stops working.,6,
2024-07-26 02:18:33,1,"Don't work at all. Tried using Status Tracker but after clicking Track nothing happens.Tried logging to my account, same result.Not really sure if the APP is ever maintained.",6,
2024-05-09 05:34:47,1,"It's crashing, login page isn't working well. Feels like data migration and integration isn't done correctly. Kindly check into it asap. It's been weeks since we are waiting to make that passport appointment rescheduled. It was cancelled automatically just 6 hours before the appointment time last month.",6,
2026-02-22 04:00:42,1,"this app in technical error they not login and they not working any thing, I am also remember my login password ID I can try maximum time but not login this app the app in text typing technical error please resolve this issue",5,
2025-12-05 09:10:46,2,"What a poorly designed app I am trying service for reissue of my password but the stupid app doesn't taking the OTP, which is the right one, and there is every time there is problem in typing the OTP in the app. There are too many bugs. It's I don't think so. This app is secure and poorly mad. At least government should make a good passport app.",5,
2025-11-10 16:57:29,1,I m worried with the state of such an important department of India. App is a mess. even website is stuck with OTP not getting received at multiple level for more than 2 months. not sure where is the governance. agents are taking rs 2500 to get the job done offline again in the age of digital first.,5,
2025-09-17 06:15:41,5,Very fast and efficient service,5,
2025-08-12 04:11:32,1,"Not Working properly, lots of bug, cannot calculate number of bugs. Bad interface",5,
2025-07-27 04:03:49,1,"Unable to upload documents or schedule appointments, too many bugs ruining the purpose of the app. The app works fine only to receive payments & then crashes everytime I try access any section. The grievence section has a bug so can't submit a case as well, very patheic experience!",5,
2025-06-12 19:07:54,1,"Poor UI app, logs out multiple times, hangs and does not work properly at all. Better to use web interface.",5,
2025-06-11 06:23:01,1,"lots of bugs, the previous application was perfect, but this is full of bugs and lots of glitches, I wish I can give zero rating. totally useless",5,
2025-05-30 19:25:31,1,I paid 1500 for the fee of application and it is not showing anything 😕 very bad experience 😞 whom to complain,5,
2025-03-20 11:34:23,1,"careless management of app full of bugs, submitted form doesnt display fee payment details, print page doesnt display filled submitted application form, whats the use of this app? driving people to get help from the passport office agents like it used to be in old dats, where you have submit applications through agents & brokers waste of words to express views",5,
2025-03-16 10:30:11,1,no description needed use it you will know it how bad it is. no appointment date is available no file number after successfull payment.,5,
2025-03-04 07:05:51,1,Very very slow. Previous saved applications doesn't open.,5,
2024-08-19 09:52:21,5,Very good and fast work,5,
2026-01-10 10:45:29,1,"As can be expected of all the Indian government websites/apps, they simply don't work. 1. App: Applying for reissuance of my passport with a correction. It's impossible to verify the OTP as it says incorrect even if it's the exact OTP I received. 2. Website: I enter my login details, the website doesn't move forward. I choose OTP and enter the 4 digit OTP, the website doesn't move. It's impossible to access the services online",4,
2025-12-28 16:13:20,1,"very bad experience, app keeps shutting down. randomly says cannot connect to servers. can not print receipts.",4,
2025-09-10 10:08:33,1,"experience is not better I want to change my passport office location not edited, work better and improve to edit able application passport office",4,
2025-07-22 18:07:52,1,"This is the worst app in the world. What a joke. The previous app was a very good app, but still it needed to be changed. I am not able to understand what was the sign behind it. Someone please tell me. Either you guys improve it or delete it. Can't you guys make even a simple application...? Upload all our old applications on the data. ok 😡😡😡😡😡😡",4,
2025-07-16 12:00:43,1,"worst interface 0/100 not even worth 1 star. mpassport seva was 100 times better than this app and very smooth interface. Even the website is also not working well. What i dont understand is, really the govt working hard to make simple things complicated by wasting money and resources and time?",4,
2025-06-21 08:18:32,1,This app is a delight to waste my time on and so is the website. Very useful if you are looking for a perfect way to waste your time and get no work done. I still haven't received OTP and it's more than 3 hours 🙂,4,
2025-06-09 08:02:24,1,"Interface is Useless, Unable to Track Application Status. Please kindly make sure that the Status and other features are working properly.",4,
2025-06-04 07:27:38,1,full of glitches and issues. 1. even after logged in it says please login. 2. not getting sms for otp 3. on input passport number says details not available. but after sometime accept it. worst app.,4,
2025-12-08 15:27:35,3,It was ok but need to improve on the lags the app is facing and when the passport data is shown it is very unclear so need to concentrate on UI of the app and colour palette and also need to improve the font depth,3,
2025-12-03 16:17:59,1,"A third grade student will make a better app than this 3rd class UI and filled with Bugs app. No error notification, can't track, no login option. Apps feels broken on Flagship devices",3,
2025-11-16 11:50:55,1,"horrified by the experience. I applied for tatkal passport..Post passport office visit, the application process has been continuously delayed .first police verification got delayed and when I called police regarding the police clearance report again and again.. he said he has finally submitted it .. later I called passport helpline ..they keep mentioning how police report has not been submitted. seems like an endless loop of confusion.",3,
2025-09-05 11:26:12,1,Not able to change my Location. last time I was in my home town. now I am in different town. I can't go to my hometown to only renew the passport. so want to take appointment in current location. but I am not able to that. because of that my passport expired.,3,
2025-08-24 06:05:23,1,"very bad experience...most of time app is down, lots of bugs there...fix it, a big 000 star",3,
2025-08-11 05:21:30,1,does not allow to upload digilocker documents as the redirected url is missing,3,
2025-06-14 15:08:30,1,"The app is useless and not working, a new version of the website is not working and previously filled application is not showing",3,
2025-06-11 16:45:12,1,"when I make payment, the app is automatically crushed. the previous version was much better & useful",3,
2025-06-10 04:57:21,1,"the worst app ever, nothing is working. Upon receiving OTP the app crashes. Such a time waste. Shame on ministry of external affairs!!!",3,
2025-06-02 07:00:08,1,The app and Website both don't allow to retrieve the application and they are behaving randomly. Sometimes OTP is not coming,3,
2025-05-28 17:57:04,1,Headache app Booked appointment but only payment was successful. No valid file number nor appointment date selected is visible. Buggy app.,3,
2025-05-25 09:33:14,1,horrible experience. when tried to get an appointment the screen goes blank...,3,
2025-05-21 16:12:56,1,"worst performance, at random it hits a complete white screen. Waste of time and money.",3,
2025-05-07 09:16:53,1,such an useless app this is. I'm redirected to this useless app from m passport app. I'm not been able to login from 1 week for new passport,3,
2025-03-29 10:01:24,1,app is not working old version too how can i scheldule my appointment any one help me please why appointments are not available for my lapsed passport how to get,3,
2025-03-29 06:18:59,5,very best app for obtaining passport,3,
2025-02-19 09:00:19,1,"Poor Functionality closes every time , Sometimes show undefined",3,
2024-10-02 19:13:51,1,"Bugs on all pages. Not able to see options of particulars when opting for reissue. Not able to select PSK in drop-down. Not able to go past address page, the app crashes.",3,
2024-07-11 07:59:11,1,Unable to book appointment since 2months. Mail sent to customer services but no response,3,
2024-06-04 11:13:06,1,"No facility, No Discount, No easy option Disabled patient. I am 80% disabled person I visited office no proper facility for wheelchair patient for filling form or photograph and mostly very rude staff not supporting specially for disabled people",3,
2024-06-03 05:26:15,1,sb gaali de kr hi jaaen🙏🙏🙏,3,
2026-02-14 21:22:18,1,"it has to like before... its so bad to use. i am trying to login, change password. nothing is working in this app.. kindly do work in this app",2,
2026-01-06 06:00:45,1,"Very pathetic app, OTP takes a whole day to receive. When we enter it says OTP expired. Remove the app from play store. I know posting it here won't change anything.",2,
2025-12-17 13:37:49,1,"Shame for us to have these kind of applications, where bugs and glitches occupied the focus. They can afford to have government based temples, but cannot an app developer.",2,
2025-10-29 12:35:26,1,"wrost app😡 I m reissue my passport n trying 3 times but there is no my post office option to appointment, what's this? First post office option there is only Nagpur shown no other option visible.",2,
2025-10-17 16:31:51,1,worst app and website. no is looking after and monitoring. site foolishly requests mobile and email both otps and only mobile otp comes but not email otp. so you are stuck and no one is bothering and no way to report issue for such important central government site. pathetic experience. if they need alternate verification they can use mobile otp and hint question or ensure system are runni g smoothly.,2,
2025-10-08 04:49:31,1,neither the website works nor the app for the past 2 days..,2,
2025-10-06 14:42:28,1,Not recieving any OTP on my email while registering,2,
2025-10-06 04:52:18,1,wrost app .,2,
2025-10-05 10:16:13,1,the app automatically gets forced closed.,2,
2025-10-02 09:18:50,1,The app UI is not suitable for Dark theme mode most of the content is not visible. Also the document upload from digilocker is not working properly. The app is very slow. The criminal record page has many yes or no options for one question.,2,
2025-09-30 17:34:42,1,"I started filling my application, it generated otp to mobile and email. But to capture the otp there was no description like mobile otp here or email otp here. Managed to proceed with next page. while filling the application, I choosed Reissue of passport and change in existing personal details. here the main issue, only check boxes are visible and no text beside to the check box are visible. what to choose now? and how to proceed further?",2,
2025-09-17 22:41:59,1,"bad experience, lot's of glitches and bugs are there",2,
2025-09-17 12:27:44,1,worst app,2,
2025-09-12 03:36:08,1,"this is a fraud application I paid for my passport and the money was deducted from my account but failed in app and didn't proceed and I didn't get my money back, the email they gave was fake too and now my money is gone do not install this application it should be banned",2,
2025-09-06 19:36:43,3,"app running slow,it might be hanged in some cases,texting issue i noticed other its very useful app. need more attention and maintenance. Jai Hind",2,
2025-09-06 11:23:59,1,"very third class application, not sure if anybody have done any testing on this application. even kids can build better application than this.",2,
2025-09-06 10:19:37,1,App + Website login both are not working since so many days.,2,
2025-09-03 15:45:26,1,"doesn't work properly, I type small letter but automatically become capital, auto paste again & again.Most third class app.",2,
2025-08-31 07:59:38,1,"This app is pathetic,too many functions are slow and not working,app not responding error,no otp received ...",2,
2025-08-15 14:51:50,1,please don't apply for Tatkaal passport they do work as per normal passport and no urgency they create,2,
2025-07-12 06:25:26,1,"whenever you log in and proceed for application, it automatically exit from page , and asked you to log in again and again, whether you go for service option or locator finder it just exit, also OTP they asked to fill came on your phone after 24 hrs. and on mail id after more than 48 hrs.",2,
2025-06-17 11:07:49,1,"Useless app totally waste of time, even they don't send OTP on time",2,
2025-06-16 14:34:09,1,"Useless app, shame on developer for making such an app developed for the Government of India. It keeps on crashing, asking to log in everytime.",2,
2025-06-01 14:56:36,1,I tried multiple times to upload supporting documents and for payment but it goes log off. This is too much irritating,2,
2025-06-01 12:27:56,1,useless app. Not able to login. keeps asking for login but it doesn't takes me to login.,2,
